调度器,平均Makespan,标准差,最佳,实验次数
FIFO,9226.262001841544,2362.4097755393354,6000.031834720952,15
HEFT,8436.08243748905,2668.58921512004,4790.925219427143,15
WASS_DRL,12511.811333212836,5801.865763446488,4790.925219427143,15
