调度器,平均Makespan,标准差,最佳,实验次数,成功次数,失败次数
HEFT,2541.5441079878906,1256.3991290020788,1106.3868623066362,3,3,0
MIN-MIN,2592.9266823359612,1952.4350174148128,1319.173564218478,3,3,0
WASS-RAG (Full),1569.243796259884,1334.6121468048686,533.45077195207,3,3,0
