调度器,平均Makespan,标准差,最佳,实验次数,成功次数,失败次数
WASS-DRL (Vanilla),1601.4079404566344,1297.823451344722,629.9436809645667,3,3,0
WASS-RAG (Full),1507.3272977148965,1408.9311663260364,347.7019221030123,3,3,0
