调度器,平均Makespan,标准差,最佳,实验次数,成功次数,失败次数
HEFT,4040.513385014537,2103.9867366192993,2592.2732246711826,3,3,0
MIN-MIN,4482.035691395194,1264.8710331762525,3041.6032785401035,3,3,0
WASS-RAG (Full),1507.3272977148965,1408.9311663260364,347.7019221030123,3,3,0
