scheduler,workflow,makespan,status,task_count,seed
WASS-RAG (Full),synthetic_workflow_001.json,3075.3397490416523,success,40,0
WASS-RAG (Full),seismology-chameleon-100p-001.json,1098.940222000025,success,101,0
WASS-RAG (Full),montage-chameleon-2mass-01d-001_aug1.json,347.7019221030123,success,103,0
HEFT,synthetic_workflow_001.json,3075.340560937096,success,40,0
HEFT,seismology-chameleon-100p-001.json,2592.2732246711826,success,101,0
HEFT,montage-chameleon-2mass-01d-001_aug1.json,6453.926369435332,success,103,0
MIN-MIN,synthetic_workflow_001.json,4993.05204465427,success,40,0
MIN-MIN,seismology-chameleon-100p-001.json,5411.4517509912075,success,101,0
MIN-MIN,montage-chameleon-2mass-01d-001_aug1.json,3041.6032785401035,success,103,0
